.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x55_engage,x34_affmot_eat,x35_int_eat,x37_plan_eat,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x30_affmot_sed,x31_int_sed,x32_plan_sed
hardyneatnessclobber@timestudy_com/2020-10-29/phone_promptresponse_clean_2020-10-29.csv,5,hardyneatnessclobber,Daily,TIME,RANDOM,22,23,2020-10-29,2020-10-29 22:30:00 PDT,GMT-07:00,1604035800894,Completed,2020-10-29,2020-10-29 22:31:55 PDT,1604035915434,1,set_1,25,9,Not at all,Moderately,A little,Moderately,Extremely,A little,Moderately,Not at all,A little,A little,Not at all,A little,Not at all,Quite a bit,No,No,0,Very much so,Probably will,Sort of,Yes,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,
hardyneatnessclobber@timestudy_com/2020-10-30/phone_promptresponse_clean_2020-10-30.csv,29,hardyneatnessclobber,Daily,TIME,RANDOM,22,23,2020-10-30,2020-10-30 22:39:01 PDT,GMT-07:00,1604122741089,Completed,2020-10-30,2020-10-30 22:40:52 PDT,1604122852155,1,set_1,24,9,Not at all,Extremely,Quite a bit,Quite a bit,Quite a bit,A little,A little,Moderately,Not at all,Quite a bit,Very much so,Not at all,Not at all,A little,No,No,0,A little,Might,Sort of,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
hardyneatnessclobber@timestudy_com/2020-10-31/phone_promptresponse_clean_2020-10-31.csv,22,hardyneatnessclobber,Daily,BURST,RANDOM,22,23,2020-10-31,2020-10-31 22:15:00 PDT,GMT-07:00,1604207700083,Completed,2020-10-31,2020-10-31 22:17:58 PDT,1604207878868,1,set_4,23,9,Not at all,Extremely,A little,Extremely,Extremely,A little,Not at all,Not at all,A little,Very much so,Very much so,Not at all,Not at all,Very much so,No,Did not have to work today,0,,,,,,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,
hardyneatnessclobber@timestudy_com/2020-11-01/phone_promptresponse_clean_2020-11-01.csv,23,hardyneatnessclobber,Daily,BURST,RANDOM,22,23,2020-11-01,2020-11-01 22:21:00 PST,GMT-08:00,1604298060156,Completed,2020-11-01,2020-11-01 22:25:50 PST,1604298350876,1,set_1,48,9,Not at all,Extremely,A little,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,A little,Quite a bit,Very much so,Very much so,Quite a bit,Very much so,No,Did not have to work today,0,Very much so,Probably will,Not really,No,,,,,Yes,Yes,Sort of,No,Sort of,Sort of,Not at all,Not at all,I am not experiencing viral symptoms,5 or more days,5 or more days,A lot less,A lot more,A lot more,Quite a bit,Very little,,,,,,
hardyneatnessclobber@timestudy_com/2020-11-02/phone_promptresponse_clean_2020-11-02.csv,22,hardyneatnessclobber,Daily,BURST,RANDOM,20,21,2020-11-02,2020-11-02 20:47:00 PST,GMT-08:00,1604378820087,Completed,2020-11-02,2020-11-02 20:53:09 PST,1604379189113,2,set_2,23,9,Not at all,Extremely,Not at all,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Not at all,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes,,,
hardyneatnessclobber@timestudy_com/2020-11-03/phone_promptresponse_clean_2020-11-03.csv,22,hardyneatnessclobber,Daily,BURST,RANDOM,21,22,2020-11-03,2020-11-03 21:22:00 PST,GMT-08:00,1604467320102,Completed,2020-11-03,2020-11-03 21:23:06 PST,1604467386690,1,set_4,23,9,A little,Extremely,A little,Extremely,Moderately,A little,A little,A little,A little,Very much so,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,Very much so,Might,Not really,,,,,,,,,,,,,,,,,,,,,,
hardyneatnessclobber@timestudy_com/2020-11-04/phone_promptresponse_clean_2020-11-04.csv,22,hardyneatnessclobber,Daily,TIME,RANDOM,21,22,2020-11-04,2020-11-04 21:28:00 PST,GMT-08:00,1604554080107,Completed,2020-11-04,2020-11-04 21:30:45 PST,1604554245777,1,set_3,23,9,Not at all,Extremely,Not at all,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Might,Sort of
hardyneatnessclobber@timestudy_com/2020-11-05/phone_promptresponse_clean_2020-11-05.csv,21,hardyneatnessclobber,Daily,TIME,RANDOM,21,22,2020-11-05,2020-11-05 21:33:00 PST,GMT-08:00,1604640780086,Completed,2020-11-05,2020-11-05 21:33:59 PST,1604640839295,1,set_4,23,9,Not at all,Extremely,Not at all,Moderately,Moderately,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,A little,Might,Sort of,,,,,,,,,,,,,,,,,,,,,,
hardyneatnessclobber@timestudy_com/2020-11-06/phone_promptresponse_clean_2020-11-06.csv,23,hardyneatnessclobber,Daily,TIME,RANDOM,22,23,2020-11-06,2020-11-06 22:34:00 PST,GMT-08:00,1604730840079,Completed,2020-11-06,2020-11-06 22:43:30 PST,1604731410769,2,set_3,23,9,Not at all,Extremely,Not at all,Moderately,Quite a bit,Not at all,A little,Not at all,Not at all,Quite a bit,Very much so,A little,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Might,Not really
hardyneatnessclobber@timestudy_com/2020-11-07/phone_promptresponse_clean_2020-11-07.csv,23,hardyneatnessclobber,Daily,TIME,RANDOM,22,23,2020-11-07,2020-11-07 22:37:00 PST,GMT-08:00,1604817420085,Completed,2020-11-07,2020-11-07 22:42:11 PST,1604817731672,2,set_4,23,9,Not at all,Extremely,A little,Extremely,Extremely,A little,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,No,Did not have to work today,0,,,,,,Quite a bit,Might,Not really,,,,,,,,,,,,,,,,,,,,,,
